game,link,platforms,difficulty,time_needed,platinum_rarity,views,guide_rating,guide_rating_count,user_favourites
Baldur's Gate III,https://psnprofiles.com/guide/17598-baldurs-gate-iii-trophy-guide,PS5,7/10,120,4.72%,"305,711",5/5,41,181
No Straight Roads,https://psnprofiles.com/guide/12494-no-straight-roads-trophy-guide,PS4,7/10,30,4.76%,"25,803",5/5,7,14
Kingdom Hearts Re:Chain of Memories,https://psnprofiles.com/guide/552-kingdom-hearts-rechain-of-memories-trophy-guide,PS3,7/10,120,4.77%,"41,889",4/5,8,91
Fenix Furia,https://psnprofiles.com/guide/4736-fenix-furia-trophy-guide,PS4,7/10,30,4.85%,"8,812",,0,2
Ragnarok Odyssey ACE,https://psnprofiles.com/guide/2044-ragnarok-odyssey-ace-trophy-guide,PS3 Vita,7/10,90,4.87%,"19,249",4/5,6,34
Attack on Titan 2,https://psnprofiles.com/guide/15078-attack-on-titan-2-trophy-guide,PS4 Vita,7/10,90,4.90%,"22,157",5/5,5,25
DJMax Respect,https://psnprofiles.com/guide/7372-djmax-respect-trophy-guide,PS4,7/10,100,4.92%,"37,890",4/5,7,31
Duke Nukem Forever,https://psnprofiles.com/guide/2754-duke-nukem-forever-trophy-guide,PS3,7/10,30,4.99%,"43,497",5/5,10,44
DJMax Technika Tune,https://psnprofiles.com/guide/543-djmax-technika-tune-trophy-guide,Vita,7/10,80,4.99%,"8,355",5/5,6,12
Metal Wolf Chaos XD,https://psnprofiles.com/guide/13279-metal-wolf-chaos-xd-trophy-guide,PS4,7/10,65,5.06%,"11,340",5/5,6,10
Ace Combat 5: The Unsung War,https://psnprofiles.com/guide/8242-ace-combat-5-the-unsung-war-trophy-guide,PS4,7/10,50,5.32%,"20,681",4/5,16,21
Dead Nation,https://psnprofiles.com/guide/692-dead-nation-trophy-guide,PS3,7/10,15,5.37%,"30,959",5/5,8,60
Hatsune Miku: Project DIVA X,https://psnprofiles.com/guide/4933-hatsune-miku-project-diva-x-trophy-guide,PS4 Vita,7/10,70,5.40%,"57,129",3/5,55,61
Edge of Eternity,https://psnprofiles.com/guide/18842-edge-of-eternity-trophy-guide,PS5,7/10,90,5.92%,"2,921",,0,6
Akiba's Trip: Hellbound & Debriefed,https://psnprofiles.com/guide/12720-akibas-trip-hellbound-debriefed-trophy-guide,PS4,7/10,50,6.02%,"21,038",,0,11
Skylanders SuperChargers,https://psnprofiles.com/guide/3856-skylanders-superchargers-trophy-guide,PS4,7/10,30,6.13%,"17,038",3/5,9,13
Kingdom Hearts Birth by Sleep,https://psnprofiles.com/guide/2089-kingdom-hearts-birth-by-sleep-trophy-guide,PS3,7/10,150,6.25%,"280,806",5/5,25,260
Baldur's Gate,https://psnprofiles.com/guide/14504-baldurs-gate-trophy-guide,PS4,7/10,40,6.26%,"46,203",4/5,5,22
Destiny,https://psnprofiles.com/guide/1574-destiny-trophy-guide,PS4 PS3,7/10,100,6.41%,"96,892",4/5,68,212
Brut@l,https://psnprofiles.com/guide/11545-brutl-trophy-guide,PS4,7/10,12,6.50%,"5,395",,0,3
Berserk and the Band of the Hawk,https://psnprofiles.com/guide/5960-berserk-and-the-band-of-the-hawk-trophy-guide,PS4 Vita,7/10,60,6.67%,"91,710",5/5,12,58
The Hong Kong Massacre,https://psnprofiles.com/guide/9526-the-hong-kong-massacre-trophy-guide,PS4,7/10,22,6.92%,"23,288",4/5,7,13
The Witcher 3: Wild Hunt,https://psnprofiles.com/guide/2842-the-witcher-3-wild-hunt-trophy-guide,PS4,7/10,110,7.14%,"983,461",5/5,131,"1,117"
The Lord of the Rings: War in the North,https://psnprofiles.com/guide/12297-the-lord-of-the-rings-war-in-the-north-trophy-guide,PS3,7/10,50,7.19%,"14,507",5/5,6,21
Caladrius Blaze,https://psnprofiles.com/guide/5819-caladrius-blaze-trophy-guide,PS4,7/10,35,7.51%,"28,621",5/5,6,18
Final Fantasy IX,https://psnprofiles.com/guide/7421-final-fantasy-ix-trophy-guide,PS4,7/10,80,7.54%,"264,947",4/5,41,205
Valfaris,https://psnprofiles.com/guide/9311-valfaris-trophy-guide,PS4,7/10,15,7.60%,"25,089",5/5,8,15
お姉チャンバラZ～カグラ～ With NoNoNo!,https://psnprofiles.com/guide/16391-%E3%81%8A%E5%A7%89%E3%83%81%E3%83%A3%E3%83%B3%E3%83%90%E3%83%A9z%E3%82%AB%E3%82%B0%E3%83%A9-with-nonono-trophy-guide,PS3,7/10,50,7.69%,"1,849",,0,3
Tom Clancy's Splinter Cell,https://psnprofiles.com/guide/1549-tom-clancys-splinter-cell-trophy-guide,PS3,7/10,20,7.95%,"11,775",5/5,5,20
Axiom Verge,https://psnprofiles.com/guide/4063-axiom-verge-trophy-guide,PS4 Vita,7/10,20,8.02%,"48,279",5/5,7,49
Will You Snail,https://psnprofiles.com/guide/14185-will-you-snail-trophy-guide,PS4,7/10,30,8.55%,"3,975",,0,4
Resident Evil Revelations,https://psnprofiles.com/guide/6398-resident-evil-revelations-trophy-guide,PS4,7/10,75,8.78%,"102,963",4/5,13,64
Crash Bandicoot,https://psnprofiles.com/guide/6185-crash-bandicoot-trophy-guide,PS4,7/10,18,8.90%,"259,639",5/5,79,378
Snake Pass,https://psnprofiles.com/guide/11731-snake-pass-trophy-guide,PS4,7/10,20,8.93%,"12,888",,0,7
Gran Turismo 7,https://psnprofiles.com/guide/14018-gran-turismo-7-trophy-guide,PS5,7/10,90,9.37%,"322,197",5/5,60,190
Tom Clancy's Splinter Cell Chaos Theory,https://psnprofiles.com/guide/3501-tom-clancys-splinter-cell-chaos-theory-trophy-guide,PS3,7/10,30,9.40%,"24,372",5/5,7,32
Tomb Raider II,https://psnprofiles.com/guide/18830-tomb-raider-ii-trophy-guide,PS4,7/10,30,9.41%,"19,339",5/5,12,9
